IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
158.180.78.235,443,443,true,SIN,Asia Pacific,SG,Singapore,239,2.30
47.245.106.224,443,443,true,SIN,Asia Pacific,SG,Singapore,208,2.21
8.219.139.205,443,443,true,SIN,Asia Pacific,SG,Singapore,242,2.21
213.35.107.21,443,443,true,SIN,Asia Pacific,SG,Singapore,317,1.48
8.219.9.86,443,443,true,SIN,Asia Pacific,SG,Singapore,250,1.40
34.143.192.60,443,443,true,SIN,Asia Pacific,SG,Singapore,79,1.40
8.219.66.220,443,443,true,SIN,Asia Pacific,SG,Singapore,261,1.36
8.222.232.216,443,443,true,SIN,Asia Pacific,SG,Singapore,243,1.34
8.219.193.144,443,443,true,SIN,Asia Pacific,SG,Singapore,263,1.33
8.219.77.219,443,443,true,SIN,Asia Pacific,SG,Singapore,242,1.24
8.219.4.137,443,443,true,SIN,Asia Pacific,SG,Singapore,256,1.20
188.64.108.9,443,443,true,SIN,Asia Pacific,SG,Singapore,63,1.18
8.219.123.63,443,443,true,SIN,Asia Pacific,SG,Singapore,243,1.17
8.219.65.202,443,443,true,SIN,Asia Pacific,SG,Singapore,237,1.17
8.219.191.12,443,443,true,SIN,Asia Pacific,SG,Singapore,240,1.10
129.226.150.167,443,443,true,SIN,Asia Pacific,SG,Singapore,68,1.09
43.156.53.68,443,443,true,SIN,Asia Pacific,SG,Singapore,62,1.09
8.219.153.34,443,443,true,SIN,Asia Pacific,SG,Singapore,243,1.08
8.219.149.151,443,443,true,SIN,Asia Pacific,SG,Singapore,244,0.99
8.219.250.17,443,443,true,SIN,Asia Pacific,SG,Singapore,243,0.89
158.178.238.239,443,443,true,SIN,Asia Pacific,SG,Singapore,250,0.86
47.236.79.131,8443,443,true,SIN,Asia Pacific,SG,Singapore,236,0.82
8.219.150.8,443,443,true,SIN,Asia Pacific,SG,Singapore,242,0.80
8.219.135.65,443,443,true,SIN,Asia Pacific,SG,Singapore,243,0.73
8.219.189.46,443,443,true,SIN,Asia Pacific,SG,Singapore,242,0.71
43.156.253.94,443,443,true,SIN,Asia Pacific,SG,Singapore,57,0.69
8.219.103.1,443,443,true,SIN,Asia Pacific,SG,Singapore,260,0.68
8.219.160.146,443,443,true,SIN,Asia Pacific,SG,Singapore,245,0.63
8.219.12.233,443,443,true,SIN,Asia Pacific,SG,Singapore,246,0.56
8.222.198.186,443,443,true,SIN,Asia Pacific,SG,Singapore,232,0.52
43.156.181.203,443,443,true,SIN,Asia Pacific,SG,Singapore,71,0.51
8.222.241.37,443,443,true,SIN,Asia Pacific,SG,Singapore,246,0.50
8.219.241.197,443,443,true,SIN,Asia Pacific,SG,Singapore,241,0.48
138.2.66.92,443,443,true,SIN,Asia Pacific,SG,Singapore,324,0.42
43.134.34.18,443,443,true,SIN,Asia Pacific,SG,Singapore,62,0.42
8.219.94.136,443,443,true,SIN,Asia Pacific,SG,Singapore,266,0.41
8.219.84.199,443,443,true,SIN,Asia Pacific,SG,Singapore,236,0.40
8.219.10.60,443,443,true,SIN,Asia Pacific,SG,Singapore,241,0.35
140.245.112.107,443,443,true,SIN,Asia Pacific,SG,Singapore,247,0.33
43.128.112.160,443,443,true,SIN,Asia Pacific,SG,Singapore,63,0.30
8.219.1.25,8443,443,true,SIN,Asia Pacific,SG,Singapore,246,0.23
13.212.35.231,443,443,true,SIN,Asia Pacific,SG,Singapore,300,0.21
150.109.11.223,443,443,true,SIN,Asia Pacific,SG,Singapore,66,0.20
47.236.181.185,8443,443,true,SIN,Asia Pacific,SG,Singapore,239,0.12
3.1.116.161,8443,443,true,SIN,Asia Pacific,SG,Singapore,224,0.11
13.229.183.153,2086,443,true,SIN,Asia Pacific,SG,Singapore,231,0.09
54.251.167.101,443,443,true,SIN,Asia Pacific,SG,Singapore,227,0.06
13.229.159.215,443,443,true,SIN,Asia Pacific,SG,Singapore,228,0.05
3.1.94.232,443,443,true,SIN,Asia Pacific,SG,Singapore,207,0.03
175.41.148.129,443,443,true,SIN,Asia Pacific,SG,Singapore,229,0.01
3.0.50.69,443,443,true,SIN,Asia Pacific,SG,Singapore,229,0.00
8.222.227.220,443,443,true,SIN,Asia Pacific,SG,Singapore,246,0.00
8.222.197.197,443,443,true,SIN,Asia Pacific,SG,Singapore,241,0.00
13.228.155.72,443,443,true,SIN,Asia Pacific,SG,Singapore,226,0.00
8.222.156.192,443,443,true,SIN,Asia Pacific,SG,Singapore,245,0.00
